odds_id,game_id,vendor,spread_home_value,spread_home_odds,spread_away_value,spread_away_odds,moneyline_home_odds,moneyline_away_odds,total_value,total_over_odds,total_under_odds,updated_at
12374208,18446977,draftkings,-1.5,105,1.5,-135,-260.0,195.0,207.5,-105.0,-125.0,2025-11-12T03:31:12.216Z
12406582,18446977,betmgm,-3.5,-105,3.5,-125,-250.0,190.0,207.5,105.0,-140.0,2025-11-12T03:32:28.679Z
12416946,18446977,fanduel,-1.5,-210,1.5,154,-260.0,196.0,209.5,-108.0,-122.0,2025-11-12T03:33:45.061Z
12440139,18446977,espnbet,-1.5,-350,1.5,230,-400.0,280.0,206.5,1000.0,-3500.0,2025-11-12T03:31:46.373Z
12495273,18446977,bet365,-1.5,-135,1.5,105,-310.0,230.0,209.5,-105.0,-125.0,2025-11-12T03:32:44.696Z
17059045,18447020,fanduel,-3.5,-152,3.5,114,-320.0,235.0,223.5,-102.0,-130.0,2025-11-18T02:37:43.511Z
17065086,18447020,draftkings,-2.5,114,2.5,-145,-330.0,240.0,224.5,-120.0,-110.0,2025-11-18T02:35:13.910Z
17066318,18447020,caesars,-2.5,125,2.5,-160,-300.0,230.0,225.5,-110.0,-120.0,2025-11-18T02:34:57.547Z
17096097,18447020,espnbet,-4.5,475,4.5,-1000,-420.0,290.0,224.5,1300.0,-5000.0,2025-11-18T02:36:10.084Z
17102815,18447020,betmgm,-2.5,-115,2.5,-110,-325.0,240.0,222.5,-105.0,-125.0,2025-11-18T02:36:19.975Z
17155168,18447020,bet365,-3.5,-105,3.5,-125,-550.0,375.0,225.5,100.0,-130.0,2025-11-18T02:36:46.131Z
18729537,18447035,draftkings,8.5,180,-8.5,-238,575.0,-950.0,235.5,124.0,-160.0,2025-11-20T02:21:47.444Z
18754829,18447035,caesars,7.5,-110,-7.5,-120,1200.0,-4000.0,237.5,-120.0,-110.0,2025-11-20T02:21:17.868Z
18758693,18447035,fanduel,8.5,110,-8.5,-146,900.0,-2500.0,237.5,-136.0,102.0,2025-11-20T02:23:42.897Z
18780829,18447035,espnbet,4.5,-125,-4.5,-105,250.0,-350.0,240.5,-130.0,100.0,2025-11-20T02:24:49.360Z
