lineup_id,game_id,starter,position,player_id,player_name,player_position,jersey_number,team_id,team_abbr
2015,18446832,True,G,131,Donte DiVincenzo,G,0,18,MIN
2016,18446832,True,G,3547238,Anthony Edwards,G,5,18,MIN
2017,18446832,False,C,667378,Naz Reid,F-C,11,18,MIN
2018,18446832,False,G,104,Mike Conley,G,10,18,MIN
2019,18446832,False,G,56677851,Jaylen Clark,G,22,18,MIN
2020,18446832,False,G,1028028501,Terrence Shannon Jr.,G-F,1,18,MIN
2021,18446832,False,G,17896031,Nah'Shon Hyland,G,8,18,MIN
2022,18446832,True,F,56677850,Toumani Camara,F,33,25,POR
2023,18446832,True,F,3547242,Deni Avdija,F,8,25,POR
2024,18446832,True,C,1028025344,Donovan Clingan,C,23,25,POR
2025,18446832,True,G,214,Jrue Holiday,G,5,25,POR
2026,18446832,True,G,38017690,Shaedon Sharpe,G,17,25,POR
2027,18446832,False,F,182,Jerami Grant,F,9,25,POR
2028,18446832,False,F,56677791,Kris Murray,F,24,25,POR
2029,18446832,False,C,1057275769,Hansen Yang,C,16,25,POR
2030,18446832,False,G,666923,Matisse Thybulle,G-F,4,25,POR
2031,18446832,False,G,38017693,Blake Wesley,G,1,25,POR
2093,18446833,True,C,201,Isaiah Hartenstein,F-C,55,21,OKC
2094,18446833,True,C,38017685,Chet Holmgren,C-F,7,21,OKC
2095,18446833,True,G,175,Shai Gilgeous-Alexander,G,2,21,OKC
2096,18446833,True,G,666541,Luguentz Dort,G,5,21,OKC
2097,18446833,True,G,17896078,Aaron Wiggins,G,21,21,OKC
2098,18446833,False,F,38017706,Jaylin Williams,F,6,21,OKC
2099,18446833,False,F,1057392335,Brooks Barnhizer,,23,21,OKC
2100,18446833,False,F,38017716,Ousmane Dieng,F,13,21,OKC
2101,18446833,False,C,1028218679,Branden Carlson,C,15,21,OKC
2102,18446833,False,G,1057849685,Chris Youngblood,,3,21,OKC
2103,18446833,False,G,1028037477,Ajay Mitchell,G,25,21,OKC
2104,18446833,True,F,416,Pascal Siakam,F,43,12,IND
2105,18446833,True,F,17896035,Isaiah Jackson,F,22,12,IND
2106,18446833,True,G,38017507,Andrew Nembhard,G-F,2,12,IND
2107,18446833,True,G,3547250,Aaron Nesmith,G-F,23,12,IND
2108,18446833,True,G,38017686,Bennedict Mathurin,G-F,00,12,IND
2109,18446833,False,F,3547243,Obi Toppin,F,1,12,IND
2110,18446833,False,F,56677832,Jarace Walker,F,5,12,IND
2111,18446833,False,C,60,Tony Bradley,C,13,12,IND
2112,18446833,False,C,17896103,Jay Huff,F-C,32,12,IND
2113,18446833,False,G,56677861,Ben Sheppard,G,26,12,IND
2114,18446833,False,G,1057395638,Taelon Peter,G,4,12,IND
2115,18446833,False,G,1028035897,Johnny Furphy,G,12,12,IND
2116,18446834,True,F,177,Aaron Gordon,F,32,8,DEN
2117,18446834,True,F,666679,Cameron Johnson,F,23,8,DEN
2118,18446834,True,C,246,Nikola Jokic,C,15,8,DEN
2119,18446834,True,G,335,Jamal Murray,G,27,8,DEN
2120,18446834,True,G,38017709,Christian Braun,G,0,8,DEN
2121,18446834,False,F,1028255289,Spencer Jones,F,21,8,DEN
2122,18446834,False,C,455,Jonas Valanciunas,C,17,8,DEN
2123,18446834,False,G,191,Tim Hardaway Jr.,G,10,8,DEN
2124,18446834,False,G,69,Bruce Brown,G,11,8,DEN
2125,18446834,False,G,38017721,Peyton Watson,G,8,8,DEN
2126,18446834,True,F,79,Jimmy Butler,G-F,10,10,GSW
2127,18446834,True,F,185,Draymond Green,F,23,10,GSW
2128,18446834,True,F,17553979,Jonathan Kuminga,F,1,10,GSW
2129,18446834,True,G,115,Stephen Curry,G,30,10,GSW
2130,18446834,True,G,56677858,Brandin Podziemski,G,2,10,GSW
2131,18446834,False,C,219,Al Horford,C-F,20,10,GSW
2132,18446834,False,C,1028047928,Quinten Post,C,21,10,GSW
2133,18446834,False,G,210,Buddy Hield,G,7,10,GSW
2134,18446834,False,G,2189,Gary Payton II,,0,10,GSW
2135,18446834,False,G,1057395872,Will Richard,G,3,10,GSW
2136,18446835,True,F,17896060,Sam Hauser,F,30,2,BOS
2137,18446835,True,C,17553967,Neemias Queta,C,88,2,BOS
2138,18446835,True,G,473,Derrick White,G,9,2,BOS
2139,18446835,True,G,70,Jaylen Brown,G,7,2,BOS
2140,18446835,True,G,3547276,Payton Pritchard,G,11,2,BOS
2141,18446835,False,F,58,Chris Boucher,F,99,2,BOS
2142,18446835,False,F,3547285,Xavier Tillman,F,26,2,BOS
2143,18446835,False,F,1057396966,Amari Williams,F-C,77,2,BOS
2144,18446835,False,G,419,Anfernee Simons,G,4,2,BOS
2145,18446835,False,G,1028028434,Baylor Scheierman,G,55,2,BOS
2146,18446835,False,G,56677864,Jordan Walsh,G,27,2,BOS
2147,18446835,False,G,1057277425,Hugo González,G,28,2,BOS
2148,18446835,True,F,18,OG Anunoby,F,8,20,NYK
2149,18446835,True,C,447,Karl-Anthony Towns,C,32,20,NYK
2150,18446835,True,G,61,Mikal Bridges,F,25,20,NYK
2151,18446835,True,G,73,Jalen Brunson,G,11,20,NYK
2152,18446835,True,G,17896033,Miles McBride,G,2,20,NYK
2153,18446835,False,F,488,Guerschon Yabusele,F,28,20,NYK
2154,18446835,False,G,100,Jordan Clarkson,G,00,20,NYK
2155,18446835,False,G,202,Josh Hart,G,3,20,NYK
2156,18446835,False,G,414,Landry Shamet,G,44,20,NYK
2157,18446835,False,G,1028036898,Tyler Kolek,G,13,20,NYK
2158,18446837,True,F,3547244,Onyeka Okongwu,F-C,17,1,ATL
2159,18446837,True,F,17896040,Jalen Johnson,F,1,1,ATL
2160,18446837,True,G,490,Trae Young,G,3,1,ATL
2161,18446837,True,G,666400,Nickeil Alexander-Walker,G,7,1,ATL
2162,18446837,True,G,38017677,Dyson Daniels,G,5,1,ATL
2163,18446837,False,F,56677806,Mouhamed Gueye,F,18,1,ATL
2164,18446837,False,F,1057279093,Asa Newell,F,14,1,ATL
2165,18446837,False,C,1028243921,N'Faly Dante,C,12,1,ATL
2166,18446837,False,G,254,Luke Kennard,G,3,1,ATL
2167,18446837,False,G,45088184,Keaton Wallace,G,2,1,ATL
2168,18446837,False,G,4197387,Vit Krejci,G,27,1,ATL
2169,18446837,True,F,38017683,Paolo Banchero,F,5,22,ORL
2170,18446837,True,F,17896026,Franz Wagner,F,22,22,ORL
2171,18446837,True,C,85,Wendell Carter Jr.,F,34,22,ORL
2172,18446837,True,G,3547287,Desmond Bane,G,3,22,ORL
2173,18446837,True,G,17896073,Jalen Suggs,G,4,22,ORL
2174,18446837,False,F,229,Jonathan Isaac,F,1,22,ORL
2175,18446837,False,F,1028025497,Tristan Da Silva,F,23,22,ORL
2176,18446837,False,C,666442,Goga Bitadze,C,35,22,ORL
2177,18446837,False,G,249,Tyus Jones,G,2,22,ORL
2178,18446837,False,G,56677827,Anthony Black,G,0,22,ORL
2179,18446837,False,G,56677839,Jett Howard,G,13,22,ORL
2180,18446839,True,F,15,Giannis Antetokounmpo,F,34,17,MIL
2181,18446839,True,C,452,Myles Turner,C-F,3,17,MIL
2182,18446839,True,G,3089,Gary Trent Jr.,,5,17,MIL
2183,18446839,True,G,38017733,A.J. Green,G,20,17,MIL
2184,18446839,True,G,38017712,Ryan Rollins,G,13,17,MIL
2185,18446839,False,F,383,Taurean Prince,F,12,17,MIL
2186,18446839,False,F,377,Bobby Portis,F,9,17,MIL
2187,18446839,False,F,265,Kyle Kuzma,F,18,17,MIL
2188,18446839,False,G,666511,Amir Coffey,G,17,17,MIL
2189,18446839,False,G,3547251,Cole Anthony,G,50,17,MIL
2190,18446839,True,F,227,Brandon Ingram,F,3,28,TOR
2191,18446839,True,F,666423,RJ Barrett,F-G,9,28,TOR
2192,18446839,True,F,17896055,Scottie Barnes,G-F,4,28,TOR
2193,18446839,True,C,373,Jakob Poeltl,C,19,28,TOR
2194,18446839,True,G,3547269,Immanuel Quickley,G,5,28,TOR
2195,18446839,False,F,17896059,Sandro Mamukelashvili,F,54,28,TOR
2196,18446839,False,F,1028243201,Jamison Battle,F,77,28,TOR
2197,18446839,False,F,1028037494,Jonathan Mogbo,F,2,28,TOR
2198,18446839,False,G,38017620,Ochai Agbaji,G,30,28,TOR
2199,18446839,False,G,1028038426,Jamal Shead,G,23,28,TOR
2200,18446839,False,G,56677828,Gradey Dick,G,1,28,TOR
2201,18446840,True,F,200,Tobias Harris,F,12,9,DET
2202,18446840,True,F,397,Duncan Robinson,F,55,9,DET
2203,18446840,True,C,38017694,Jalen Duren,C,0,9,DET
2204,18446840,True,G,17896075,Cade Cunningham,G-F,2,9,DET
2205,18446840,True,G,56677826,Ausar Thompson,G-F,9,9,DET
2206,18446840,False,F,3547270,Paul Reed,F,7,9,DET
2207,18446840,False,F,3547267,Isaiah Stewart,F-C,28,9,DET
2208,18446840,False,F,1028026508,Ronald Holland II,F,5,9,DET
2209,18446840,False,G,666604,Javonte Green,G-F,31,9,DET
2210,18446840,False,G,1057389625,Chaz Lanier,G,20,9,DET
2211,18446840,False,G,1028240128,Daniss Jenkins,,24,9,DET
2212,18446840,True,F,140,Kevin Durant,F,7,11,HOU
2213,18446840,True,F,38017684,Jabari Smith Jr.,F,10,11,HOU
2214,18446840,True,C,3,Steven Adams,C,12,11,HOU
2215,18446840,True,C,17896062,Alperen Sengun,F-C,28,11,HOU
2216,18446840,True,G,56677825,Amen Thompson,G-F,1,11,HOU
2217,18446840,False,F,38017695,Tari Eason,F,17,11,HOU
2218,18446840,False,C,83,Clint Capela,C,30,11,HOU
2219,18446840,False,G,356,Josh Okogie,G,20,11,HOU
2220,18446840,False,G,1028028519,Reed Sheppard,G,15,11,HOU
2334,18446838,True,C,9,Jarrett Allen,C,31,6,CLE
2335,18446838,True,C,17896076,Evan Mobley,F-C,4,6,CLE
2336,18446838,True,G,322,Donovan Mitchell,G,45,6,CLE
2337,18446838,True,G,3547299,Sam Merrill,G,5,6,CLE
2338,18446838,True,G,1028028993,Jaylon Tyson,G-F,20,6,CLE
2339,18446838,False,F,340,Larry Nance Jr.,F,22,6,CLE
2340,18446838,False,F,666940,Dean Wade,F,32,6,CLE
2341,18446838,False,G,27,Lonzo Ball,G,2,6,CLE
2342,18446838,False,G,56677872,Craig Porter,G,9,6,CLE
2343,18446838,False,G,1057395754,Tyrese Proctor,G,24,6,CLE
2344,18446838,True,F,375,Michael Porter Jr.,F,17,3,BKN
2345,18446838,True,C,666508,Nicolas Claxton,F-C,33,3,BKN
2346,18446838,True,G,666743,Terance Mann,G,14,3,BKN
2347,18446838,True,G,17896048,Cam Thomas,G,24,3,BKN
2348,18446838,True,G,1057279760,Ben Saraf,G,77,3,BKN
2349,18446838,False,F,17896027,Ziaire Williams,G-F,1,3,BKN
2350,18446838,False,F,56677843,Noah Clowney,F,21,3,BKN
2351,18446838,False,C,17896038,Day'Ron Sharpe,C,20,3,BKN
2352,18446838,False,G,38017722,Tyrese Martin,G,13,3,BKN
2353,18446838,False,G,1057266813,Egor Demin,G,8,3,BKN
2354,18446836,True,F,387,Julius Randle,F,30,18,MIN
2355,18446836,True,F,3547259,Jaden McDaniels,F,3,18,MIN
2356,18446836,True,C,176,Rudy Gobert,C,27,18,MIN
2357,18446836,True,G,131,Donte DiVincenzo,G,0,18,MIN
2358,18446836,True,G,3547238,Anthony Edwards,G,5,18,MIN
2359,18446836,False,F,226,Joe Ingles,F,7,18,MIN
2360,18446836,False,F,56677782,Leonard Miller,F,33,18,MIN
2361,18446836,False,F,1057271099,Joan Beringer,F,19,18,MIN
2362,18446836,False,C,667378,Naz Reid,F-C,11,18,MIN
2363,18446836,False,G,104,Mike Conley,G,10,18,MIN
2364,18446836,False,G,56677851,Jaylen Clark,G,22,18,MIN
2365,18446836,False,G,38017630,Johnny Juzang,G,9,18,MIN
2366,18446836,False,G,1028028501,Terrence Shannon Jr.,G-F,1,18,MIN
2367,18446836,False,G,17896031,Nah'Shon Hyland,G,8,18,MIN
2368,18446836,False,G,1028025639,Rob Dillingham,G,4,18,MIN
2369,18446836,True,F,666609,Rui Hachimura,F,28,14,LAL
2370,18446836,True,C,22,Deandre Ayton,C,5,14,LAL
2371,18446836,True,G,1603383,Gabe Vincent,G,7,14,LAL
2372,18446836,True,G,132,Luka Doncic,F-G,77,14,LAL
2373,18446836,True,G,17553995,Austin Reaves,G,15,14,LAL
2374,18446836,False,F,457,Jarred Vanderbilt,F,2,14,LAL
2375,18446836,False,F,38017728,Jake LaRavia,F,12,14,LAL
2376,18446836,False,F,1028026974,Dalton Knecht,F,4,14,LAL
2377,18446836,False,C,38017710,Christian Koloko,C,10,14,LAL
2378,18446836,False,G,420,Marcus Smart,G,36,14,LAL
2379,18446836,False,G,1028046517,Bronny James,G,9,14,LAL
2221,18446842,True,F,30,Harrison Barnes,F,40,27,SAS
2222,18446842,True,F,38017649,Julian Champagnie,F,30,27,SAS
2223,18446842,True,F,56677822,Victor Wembanyama,F-C,1,27,SAS
2224,18446842,True,G,3547246,Devin Vassell,G-F,24,27,SAS
2225,18446842,True,G,1028025261,Stephon Castle,G,5,27,SAS
2226,18446842,False,F,666682,Keldon Johnson,F,3,27,SAS
2227,18446842,False,F,1057271360,Carter Bryant,F,11,27,SAS
2228,18446842,False,C,261,Luke Kornet,F-C,7,27,SAS
2229,18446842,False,G,666767,Jordan McLaughlin,G,0,27,SAS
2230,18446842,False,G,1057262518,Dylan Harper,G,2,27,SAS
