game_id,date,season,status,period,time,postseason,home_team_id,home_team_name,home_team_abbr,home_team_city,home_team_conference,home_team_division,home_score,visitor_team_id,visitor_team_name,visitor_team_abbr,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_score
18447336,2026-01-07,2025,Final,4,Final,False,20,New York Knicks,NYK,New York,East,Atlantic,123,13,LA Clippers,LAC,LA,West,Pacific,111
18447337,2026-01-07,2025,Final,4,Final,False,27,San Antonio Spurs,SAS,San Antonio,West,Southwest,107,14,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,91
18447338,2026-01-07,2025,Final,4,Final,False,15,Memphis Grizzlies,MEM,Memphis,West,Southwest,98,24,Phoenix Suns,PHX,Phoenix,West,Pacific,117
18447339,2026-01-07,2025,Final,5,Final,False,21,Oklahoma City Thunder,OKC,Oklahoma City,West,Northwest,129,29,Utah Jazz,UTA,Utah,West,Northwest,125
18447340,2026-01-07,2025,Final,4,Final,False,10,Golden State Warriors,GSW,Golden State,West,Pacific,120,17,Milwaukee Bucks,MIL,Milwaukee,East,Central,113
18447341,2026-01-07,2025,Final,4,Final,False,25,Portland Trail Blazers,POR,Portland,West,Northwest,103,11,Houston Rockets,HOU,Houston,West,Southwest,102
18447342,2026-01-08,2025,Final,4,Final,False,4,Charlotte Hornets,CHA,Charlotte,East,Southeast,112,12,Indiana Pacers,IND,Indiana,East,Central,114
18447344,2026-01-08,2025,Final,4,Final,False,18,Minnesota Timberwolves,MIN,Minnesota,West,Northwest,131,6,Cleveland Cavaliers,CLE,Cleveland,East,Central,122
18447345,2026-01-08,2025,Final,4,Final,False,29,Utah Jazz,UTA,Utah,West,Northwest,116,7,Dallas Mavericks,DAL,Dallas,West,Southwest,114
18447346,2026-01-09,2025,Final,4,Final,False,2,Boston Celtics,BOS,Boston,East,Atlantic,125,28,Toronto Raptors,TOR,Toronto,East,Atlantic,117
18447347,2026-01-09,2025,Final,4,Final,False,22,Orlando Magic,ORL,Orlando,East,Southeast,91,23,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,103
18447348,2026-01-09,2025,Final,4,Final,False,30,Washington Wizards,WAS,Washington,East,Southeast,107,19,New Orleans Pelicans,NOP,New Orleans,West,Southwest,128
18447349,2026-01-09,2025,Final,4,Final,False,3,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,105,13,LA Clippers,LAC,LA,West,Pacific,121
18447350,2026-01-09,2025,Final,4,Final,False,15,Memphis Grizzlies,MEM,Memphis,West,Southwest,116,21,Oklahoma City Thunder,OKC,Oklahoma City,West,Northwest,117
18447351,2026-01-09,2025,Final,4,Final,False,8,Denver Nuggets,DEN,Denver,West,Northwest,87,1,Atlanta Hawks,ATL,Atlanta,East,Southeast,110
