stat_id,game_id,game_date,player_id,player_name,team_id,team_abbr,period,pie,pace,pace_per_40,possessions,offensive_rating,defensive_rating,net_rating,usage_percentage,true_shooting_percentage,effective_field_goal_percentage,assist_percentage,assist_ratio,assist_to_turnover,turnover_ratio,offensive_rebound_percentage,defensive_rebound_percentage,rebound_percentage,blocks_against,fouls_drawn,points_fast_break,points_off_turnovers,points_paint,points_second_chance,pct_assisted_fgm,pct_unassisted_fgm,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_3pt,pct_pts_paint,pct_pts_fast_break,box_outs,charges_drawn,contested_shots,deflections,loose_balls_recovered_total,screen_assists,screen_assist_points,matchup_minutes,matchup_fg_pct,matchup_player_points,defended_at_rim_fg_pct,speed,distance,touches,passes,contested_fg_pct,uncontested_fg_pct,pct_fga,pct_points,pct_rebounds_total
58797,18447374,2026-01-12,178,Eric Gordon,23,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59939,18447386,2026-01-14,172,Paul George,23,PHI,0,0.114,100.26,83.55,62.0,114.5,127.4,-12.9,0.189,0.571,0.571,0.235,22.2,0.0,0.0,0.0,0.148,0.062,1.0,4.0,0.0,3.0,2.0,0.0,0.571,0.429,0.714,0.286,0.588,0.353,0.118,0.0,0.0,0.0,4.0,7.0,0.0,1.0,2.0,11:15,0.556,12.0,1.0,4.26,2.23,60.0,45.0,0.4,0.556,0.233,0.239,0.154
59940,18447386,2026-01-14,38017730,Dominick Barlow,23,PHI,0,-0.025,95.21,79.34,15.0,106.7,147.1,-40.4,0.167,0.333,0.333,0.0,0.0,0.0,0.0,0.25,0.0,0.118,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.667,0.333,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3:15,0.833,11.0,1.0,4.73,0.66,8.0,5.0,0.5,0.0,0.231,0.125,0.286
59941,18447386,2026-01-14,145,Joel Embiid,23,PHI,0,0.123,99.08,82.57,52.0,98.1,135.3,-37.2,0.361,0.635,0.571,0.25,12.0,0.5,24.0,0.065,0.083,0.073,1.0,2.0,0.0,4.0,6.0,4.0,0.714,0.286,0.643,0.357,0.5,0.3,0.3,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,9:40,0.4,8.0,0.833,3.68,1.63,58.0,38.0,0.75,0.4,0.286,0.392,0.2
59942,18447386,2026-01-14,1057261935,VJ Edgecombe,23,PHI,0,0.016,95.4,79.5,53.0,103.8,137.7,-34.0,0.206,0.414,0.35,0.125,13.3,1.0,13.3,0.032,0.071,0.051,0.0,1.0,2.0,2.0,4.0,0.0,0.667,0.333,0.4,0.6,0.444,0.333,0.444,0.222,0.0,0.0,4.0,3.0,1.0,0.0,0.0,10:32,0.818,23.0,1.0,4.28,2.0,50.0,37.0,0.5,0.25,0.204,0.164,0.12
59943,18447386,2026-01-14,3547254,Tyrese Maxey,23,PHI,0,0.074,100.05,83.38,65.0,90.8,124.6,-33.8,0.23,0.415,0.375,0.235,19.0,0.0,0.0,0.0,0.057,0.028,1.0,3.0,4.0,4.0,4.0,3.0,0.6,0.4,0.5,0.5,0.429,0.429,0.286,0.286,0.0,0.0,6.0,2.0,0.0,0.0,0.0,12:08,0.357,11.0,0.5,4.22,2.34,69.0,50.0,0.0,0.333,0.276,0.237,0.077
59944,18447386,2026-01-14,360,Kelly Oubre Jr.,23,PHI,0,0.045,107.01,89.17,58.0,101.7,134.5,-32.8,0.131,0.509,0.5,0.111,20.0,2.0,10.0,0.0,0.185,0.098,0.0,1.0,3.0,3.0,0.0,0.0,0.5,0.5,0.167,0.833,0.0,0.857,0.0,0.429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10:37,0.6,11.0,0.0,4.33,2.02,35.0,26.0,0.0,0.333,0.14,0.119,0.25
59945,18447386,2026-01-14,38017711,Jabari Walker,23,PHI,0,0.067,106.19,88.49,32.0,100.0,123.5,-23.5,0.152,0.2,0.2,0.25,37.5,0.0,0.0,0.071,0.176,0.129,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.2,0.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5:33,0.667,10.0,0.5,4.37,1.17,20.0,15.0,0.0,0.2,0.185,0.063,0.4
59946,18447386,2026-01-14,1028034846,Adem Bona,23,PHI,0,0.163,102.08,85.07,24.0,100.0,104.3,-4.3,0.16,1.087,1.0,0.0,0.0,0.0,25.0,0.091,0.067,0.077,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.333,0.0,0.333,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,4:20,0.333,8.0,0.0,4.68,0.91,11.0,7.0,1.0,0.0,0.056,0.25,0.2
59947,18447386,2026-01-14,17895858,Quentin Grimes,23,PHI,0,0.055,104.49,87.07,48.0,104.2,125.0,-20.8,0.145,0.571,0.571,0.0,0.0,0.0,12.5,0.067,0.158,0.102,0.0,1.0,2.0,2.0,2.0,0.0,0.667,0.333,0.286,0.714,0.25,0.75,0.25,0.25,0.0,0.0,3.0,2.0,2.0,0.0,0.0,8:18,0.714,15.0,1.0,4.28,1.66,34.0,25.0,0.5,0.4,0.156,0.16,0.238
59948,18447386,2026-01-14,17896058,Trendon Watford,23,PHI,0,0.067,108.94,90.79,40.0,107.5,126.3,-18.8,0.068,0.5,0.5,0.4,57.1,0.0,0.0,0.0,0.118,0.053,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.667,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,7:10,0.571,11.0,0.0,4.4,1.35,37.0,34.0,0.0,0.333,0.097,0.07,0.111
59949,18447386,2026-01-14,1028027372,Jared McCain,23,PHI,0,0.093,116.29,96.91,24.0,108.3,113.0,-4.7,0.154,0.798,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4:07,0.429,7.0,1.0,4.97,0.89,14.0,9.0,1.0,0.0,0.111,0.231,0.0
59950,18447386,2026-01-14,137,Andre Drummond,23,PHI,0,0.136,112.0,93.33,28.0,114.3,142.9,-28.6,0.258,0.527,0.25,0.0,0.0,0.0,12.5,0.154,0.7,0.391,0.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,0.5,0.5,0.286,0.0,0.286,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4:59,0.667,9.0,1.0,4.11,0.89,17.0,9.0,0.0,0.333,0.182,0.219,0.75
59951,18447386,2026-01-14,1028214238,Justin Edwards,23,PHI,0,0.15,124.9,104.08,17.0,100.0,117.6,-17.6,0.222,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.667,0.333,0.75,0.25,1.0,0.0,0.667,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3:01,0.0,0.0,0.0,4.4,0.54,6.0,2.0,0.0,0.75,0.333,0.353,0.0
59952,18447386,2026-01-14,178,Eric Gordon,23,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59953,18447386,2026-01-14,286,Kyle Lowry,23,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61474,18447403,2026-01-16,172,Paul George,23,PHI,0,0.124,95.05,79.21,61.0,124.6,113.6,11.0,0.186,0.583,0.583,0.208,27.8,5.0,5.6,0.0,0.138,0.073,0.0,3.0,3.0,5.0,4.0,0.0,0.667,0.333,0.5,0.5,0.571,0.429,0.286,0.214,1.0,0.0,8.0,3.0,2.0,0.0,0.0,11:22,0.545,19.0,1.0,4.13,2.28,63.0,46.0,1.0,0.4,0.218,0.184,0.2
61476,18447403,2026-01-16,38017730,Dominick Barlow,23,PHI,0,0.05,93.45,77.88,34.0,135.3,131.3,4.0,0.077,0.333,0.333,0.0,0.0,0.0,0.0,0.133,0.0,0.077,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,5:34,0.538,15.0,0.0,4.56,1.36,16.0,13.0,0.5,0.0,0.088,0.043,0.222
61478,18447403,2026-01-16,145,Joel Embiid,23,PHI,0,0.152,99.3,82.75,69.0,129.0,117.6,11.3,0.367,0.605,0.5,0.13,9.4,3.0,3.1,0.091,0.087,0.089,1.0,7.0,0.0,6.0,0.0,4.0,0.7,0.3,0.864,0.136,0.485,0.182,0.0,0.0,0.0,0.0,9.0,2.0,1.0,6.0,13.0,11:04,0.636,15.0,0.667,3.65,2.16,78.0,47.0,0.2,0.529,0.344,0.371,0.238
61480,18447403,2026-01-16,1057261935,VJ Edgecombe,23,PHI,0,0.057,95.63,79.69,70.0,121.4,133.8,-12.4,0.099,1.0,1.0,0.138,33.3,1.33,25.0,0.031,0.111,0.068,0.0,1.0,3.0,3.0,2.0,0.0,0.75,0.25,0.6,0.4,0.4,0.6,0.2,0.3,0.0,0.0,2.0,2.0,0.0,0.0,0.0,12:43,0.643,24.0,0.8,4.18,2.63,61.0,49.0,0.5,1.0,0.079,0.118,0.2
61482,18447403,2026-01-16,3547254,Tyrese Maxey,23,PHI,0,0.129,100.55,83.79,81.0,113.6,118.5,-4.9,0.274,0.461,0.435,0.36,25.7,4.5,5.7,0.022,0.133,0.066,2.0,1.0,4.0,6.0,12.0,0.0,0.556,0.444,0.652,0.348,0.636,0.273,0.545,0.182,0.0,0.0,4.0,7.0,2.0,0.0,0.0,13:01,0.357,11.0,0.333,4.26,2.95,87.0,56.0,0.5,0.353,0.295,0.239,0.172
61484,18447403,2026-01-16,17895858,Quentin Grimes,23,PHI,0,0.094,101.33,84.44,66.0,107.6,111.9,-4.4,0.173,0.526,0.5,0.211,23.5,0.0,0.0,0.0,0.206,0.101,0.0,1.0,5.0,5.0,6.0,3.0,0.4,0.6,0.417,0.583,0.429,0.429,0.429,0.357,0.0,0.0,6.0,1.0,1.0,1.0,2.0,11:36,0.417,13.0,0.5,4.26,2.39,48.0,33.0,0.75,0.25,0.207,0.197,0.233
61486,18447403,2026-01-16,360,Kelly Oubre Jr.,23,PHI,0,0.06,102.92,85.77,56.0,105.4,117.9,-12.5,0.143,0.761,0.714,0.059,10.0,1.0,10.0,0.074,0.0,0.036,0.0,1.0,2.0,3.0,4.0,4.0,0.75,0.25,0.286,0.714,0.333,0.5,0.333,0.167,0.0,0.0,3.0,2.0,0.0,0.0,0.0,9:49,0.8,10.0,1.0,4.19,1.97,27.0,18.0,1.0,0.4,0.152,0.203,0.087
61488,18447403,2026-01-16,38017711,Jabari Walker,23,PHI,0,0.0,125.5,104.59,9.0,33.3,80.0,-46.7,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1:08,0.5,2.0,0.0,5.16,0.33,5.0,3.0,0.0,0.0,0.2,0.0,0.333
61490,18447403,2026-01-16,1028034846,Adem Bona,23,PHI,0,0.07,101.56,84.63,31.0,83.9,115.6,-31.8,0.111,0.667,0.667,0.0,0.0,0.0,25.0,0.118,0.095,0.105,1.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,5.0,2.0,0.0,1.0,2.0,6:11,0.5,9.0,0.0,4.53,1.23,14.0,11.0,0.667,0.0,0.111,0.154,0.25
